Letterboxd Friend Ranker - Report for: tytnckll!

You had the most in-common with: ralfmakesmovies

Here's how it all stacked-up

User: ralfmakesmovies	Avg. difference: 0.42
User: raspyrees		Avg. difference: 0.46
User: mln		Avg. difference: 0.59
User: glubes		Avg. difference: 0.63
User: ymsunofficial	Avg. difference: 0.63
User: ihe		Avg. difference: 0.66
User: blakido		Avg. difference: 0.68
User: gugg		Avg. difference: 0.72
User: utkudandic	Avg. difference: 0.77
User: realhumanbean4u	Avg. difference: 0.82
User: johanneelise	Avg. difference: 0.86
User: cowboycookie	Avg. difference: 0.93
User: tonyterror	Avg. difference: 0.99
